Temperature(F),Humidity(%),Pressure(in),Visibility(mi),Weather_Condition,Weather_Condition
67.0,90.0,30.13,10.0,9,9
79.0,78.0,30.15,10.0,56,56
19.0,59.0,30.18,10.0,84,84
82.0,33.0,29.88,10.0,4,4
63.0,94.0,28.79,10.0,5,5
77.0,74.0,29.3,10.0,9,9
71.0,81.0,30.13,10.0,5,5
31.0,61.0,29.52,10.0,56,56
62.0,38.0,30.25,10.0,5,5
72.0,31.0,28.64,10.0,9,9
50.0,76.0,29.88,10.0,9,9
49.0,36.0,29.16,10.0,9,9
75.0,94.0,30.01,9.0,48,48
77.0,82.0,30.13,10.0,4,4
51.0,92.0,29.11,9.0,37,37
35.0,61.0,29.07,10.0,5,5
68.0,76.0,29.87,10.0,4,4
77.0,39.0,28.34,10.0,9,9
32.0,59.0,30.21,10.0,54,54
49.0,86.0,29.98,9.0,5,5
39.0,67.0,29.6,5.0,59,59
89.0,59.0,29.66,10.0,9,9
61.0,90.0,30.03,10.0,51,51
41.0,60.0,29.79,10.0,9,9
34.0,96.0,29.07,3.0,5,5
56.0,34.0,29.91,10.0,9,9
71.1,100.0,30.04,8.0,51,51
109.0,11.0,26.97,10.0,9,9
87.4,44.0,30.03,10.0,4,4
30.9,47.0,30.13,10.0,4,4
54.0,55.0,29.63,10.0,9,9
17.0,96.0,29.09,5.0,5,5
70.0,76.0,29.78,10.0,9,9
37.0,54.0,30.11,10.0,5,5
86.0,21.0,27.16,10.0,9,9
85.0,74.0,29.92,10.0,9,9
81.0,30.0,29.51,10.0,9,9
59.0,88.0,29.92,10.0,64,64
19.9,89.0,30.07,10.0,51,51
78.0,87.0,29.78,10.0,51,51
66.0,42.0,29.93,10.0,9,9
85.0,80.0,30.0,10.0,51,51
71.0,30.0,29.22,10.0,9,9
90.0,27.0,29.73,10.0,9,9
84.9,63.0,29.66,10.0,51,51
82.0,67.0,29.36,7.0,9,9
81.0,52.0,29.85,10.0,4,4
72.0,94.0,29.86,5.0,5,5
34.0,70.0,29.64,10.0,5,5
81.0,49.0,29.47,10.0,9,9
46.0,56.0,29.68,10.0,51,51
43.0,58.0,30.08,10.0,54,54
59.0,88.0,29.12,10.0,5,5
78.0,71.0,30.09,9.0,56,56
77.0,83.0,29.32,6.0,51,51
90.0,39.0,29.29,10.0,56,56
66.0,96.0,28.98,10.0,51,51
48.0,93.0,29.93,1.2,37,37
77.0,57.0,30.09,10.0,51,51
77.0,89.0,29.94,7.0,56,56
44.0,96.0,29.63,10.0,9,9
73.0,93.0,29.87,10.0,51,51
68.0,65.0,29.9,10.0,9,9
59.0,100.0,29.85,4.0,20,20
63.0,93.0,28.91,3.0,5,5
63.0,78.0,29.96,10.0,9,9
57.0,100.0,29.31,5.0,56,56
96.1,27.0,29.93,10.0,4,4
44.0,31.0,29.31,10.0,9,9
88.0,42.0,29.17,10.0,9,9
68.0,61.0,29.89,10.0,54,54
82.0,10.0,29.97,10.0,4,4
46.0,61.0,29.09,7.0,9,9
44.6,100.0,30.01,10.0,54,54
64.9,15.0,30.15,10.0,51,51
71.0,53.0,29.81,10.0,51,51
88.0,53.0,29.93,10.0,9,9
43.0,84.0,29.3,10.0,9,9
90.0,68.0,30.12,10.0,9,9
52.0,23.0,29.55,10.0,52,52
58.0,28.0,30.19,10.0,51,51
48.2,40.0,30.1,10.0,4,4
93.0,50.0,29.58,10.0,51,51
49.0,71.0,29.72,9.0,9,9
63.0,25.0,30.09,10.0,4,4
68.0,100.0,29.94,10.0,5,5
81.0,24.0,23.26,10.0,9,9
71.0,66.0,29.82,10.0,9,9
59.0,11.0,26.84,10.0,9,9
69.0,19.0,29.52,10.0,9,9
58.0,93.0,28.99,10.0,51,51
-4.0,54.0,29.71,10.0,51,51
57.0,67.0,28.4,10.0,51,51
66.0,59.0,29.94,10.0,10,10
74.0,91.0,29.68,7.0,37,37
62.6,52.0,30.19,10.0,4,4
60.0,44.0,29.93,10.0,9,9
46.9,86.0,30.11,10.0,51,51
55.4,67.0,29.84,10.0,4,4
26.0,66.0,23.22,10.0,9,9
72.0,94.0,29.9,10.0,56,56
82.0,79.0,29.62,10.0,51,51
61.0,64.0,30.38,10.0,54,54
64.0,43.0,29.76,10.0,4,4
-6.0,77.0,28.8,10.0,9,9
66.9,40.0,29.99,10.0,4,4
54.0,80.0,29.98,10.0,5,5
90.0,50.0,29.99,10.0,5,5
36.0,75.0,29.73,10.0,9,9
87.1,72.0,29.97,10.0,51,51
68.0,87.0,29.86,6.0,37,37
36.0,29.0,29.89,10.0,9,9
86.0,37.0,30.06,10.0,56,56
82.0,71.0,29.97,10.0,9,9
50.0,100.0,29.52,0.0,5,5
59.0,78.0,29.57,5.0,9,9
57.0,89.0,30.18,10.0,51,51
65.0,87.0,29.84,10.0,51,51
51.0,77.0,29.85,10.0,51,51
33.0,77.0,29.35,10.0,9,9
86.0,74.0,29.99,10.0,51,51
95.0,43.0,29.18,10.0,9,9
59.0,90.0,29.31,1.0,11,11
68.0,89.0,29.53,10.0,5,5
54.0,62.0,28.86,10.0,9,9
49.0,43.0,25.55,10.0,9,9
12.0,92.0,28.91,2.0,44,44
87.1,63.0,30.0,10.0,54,54
89.1,61.0,30.01,10.0,51,51
89.6,55.0,29.8,10.0,4,4
64.4,83.0,29.98,5.0,17,17
66.0,54.0,29.89,10.0,9,9
35.1,70.0,29.91,10.0,54,54
46.9,80.0,30.32,10.0,56,56
48.0,93.0,29.86,6.0,37,37
76.0,18.0,28.75,10.0,9,9
60.8,68.0,30.09,10.0,4,4
64.0,67.0,29.86,10.0,84,84
74.0,91.0,29.88,10.0,9,9
65.0,93.0,29.79,10.0,5,5
55.0,96.0,29.92,1.0,11,11
37.0,65.0,28.93,9.0,5,5
78.1,90.0,29.96,10.0,51,51
53.0,83.0,29.91,10.0,9,9
11.0,73.0,29.73,10.0,9,9
54.0,72.0,29.08,10.0,5,5
30.0,88.0,30.41,10.0,56,56
91.0,59.0,30.01,10.0,9,9
81.0,50.0,28.92,10.0,9,9
85.0,74.0,29.93,10.0,9,9
14.0,57.0,30.2,10.0,64,64
43.0,93.0,29.44,10.0,59,59
34.0,93.0,29.39,10.0,9,9
82.0,69.0,29.98,10.0,56,56
78.1,74.0,29.89,10.0,54,54
77.0,74.0,30.0,10.0,51,51
72.0,59.0,29.92,10.0,9,9
94.0,51.0,29.94,10.0,56,56
93.0,28.0,29.39,10.0,9,9
73.0,96.0,29.78,10.0,9,9
58.0,46.0,29.34,10.0,9,9
64.0,67.0,30.23,10.0,4,4
59.0,62.0,29.29,10.0,9,9
64.0,67.0,29.86,10.0,84,84
41.0,60.0,28.85,10.0,9,9
70.0,93.0,29.87,8.0,9,9
64.0,78.0,29.87,8.0,5,5
4.0,80.0,28.15,0.75,18,18
91.0,42.0,29.82,10.0,56,56
68.0,30.0,28.93,10.0,9,9
37.9,83.0,30.16,5.0,29,29
69.0,47.0,30.17,10.0,56,56
37.9,68.0,30.43,10.0,4,4
57.0,47.0,29.99,10.0,9,9
34.0,89.0,29.54,0.5,71,71
50.0,26.0,29.3,10.0,9,9
50.0,50.0,28.86,10.0,9,9
62.0,67.0,28.97,10.0,51,51
61.0,72.0,30.03,10.0,56,56
48.2,100.0,30.01,2.0,54,54
70.0,90.0,30.01,10.0,51,51
49.0,80.0,29.73,4.0,17,17
85.3,56.0,30.03,10.0,51,51
61.0,32.0,25.92,10.0,51,51
52.0,66.0,29.3,10.0,9,9
83.0,32.0,29.77,10.0,51,51
34.0,85.0,30.32,10.0,54,54
58.0,47.0,29.08,10.0,9,9
63.0,27.0,30.17,10.0,4,4
38.0,99.0,28.87,10.0,5,5
81.0,86.0,29.99,10.0,51,51
65.0,70.0,29.83,9.0,51,51
61.0,67.0,29.77,10.0,9,9
75.0,55.0,30.08,10.0,56,56
74.0,24.0,29.65,9.0,9,9
48.0,87.0,29.54,10.0,9,9
54.0,90.0,29.66,3.0,20,20
71.0,68.0,29.15,10.0,5,5
64.0,100.0,28.4,2.0,37,37
55.4,94.0,29.85,10.0,4,4
62.0,56.0,28.64,10.0,9,9
54.0,94.0,30.07,7.0,56,56
64.0,41.0,30.26,10.0,5,5
64.9,54.0,30.16,10.0,4,4
51.0,71.0,28.65,10.0,51,51
45.0,56.0,29.22,10.0,6,6
55.0,62.0,28.98,10.0,9,9
72.0,64.0,29.13,10.0,5,5
88.0,25.0,29.76,10.0,9,9
89.0,45.0,28.48,10.0,9,9
80.0,71.0,29.81,10.0,51,51
69.0,54.0,29.91,10.0,9,9
41.0,73.0,30.07,10.0,4,4
73.0,81.0,30.1,10.0,5,5
74.0,35.0,29.56,10.0,9,9
36.0,56.0,28.97,10.0,9,9
56.0,76.0,30.17,10.0,9,9
42.8,53.0,30.51,10.0,4,4
23.5,86.0,30.07,10.0,54,54
63.0,70.0,29.93,10.0,54,54
57.0,62.0,29.11,10.0,9,9
68.0,63.0,29.77,10.0,9,9
64.0,72.0,29.49,10.0,51,51
73.0,49.0,30.24,10.0,4,4
78.0,40.0,29.03,10.0,9,9
73.0,61.0,29.41,10.0,56,56
72.0,38.0,30.01,10.0,9,9
91.9,35.0,29.89,10.0,4,4
23.0,48.0,29.13,10.0,51,51
86.0,35.0,29.65,10.0,9,9
27.0,85.0,23.09,7.0,44,44
46.9,93.0,30.12,10.0,54,54
59.0,93.0,30.07,10.0,54,54
35.0,82.0,30.06,10.0,5,5
60.8,68.0,30.12,10.0,84,84
21.0,92.0,26.0,8.0,56,56
63.0,75.0,29.91,10.0,9,9
55.9,72.0,30.11,10.0,64,64
63.0,90.0,30.14,6.0,54,54
61.0,77.0,30.02,10.0,5,5
49.5,37.0,30.23,10.0,54,54
76.0,62.0,29.8,10.0,9,9
84.0,63.0,29.25,10.0,51,51
77.0,88.0,29.72,3.0,37,37
69.0,70.0,29.97,10.0,5,5
77.0,76.0,30.07,10.0,4,4
89.0,59.0,29.96,10.0,56,56
64.0,58.0,29.91,10.0,4,4
44.0,42.0,28.97,10.0,9,9
38.0,68.0,29.26,10.0,5,5
39.0,89.0,30.02,7.0,54,54
33.0,66.0,29.79,10.0,44,44
82.0,62.0,30.18,10.0,64,64
27.0,86.0,23.12,0.75,44,44
57.0,87.0,30.0,6.0,5,5
68.0,81.0,30.02,10.0,54,54
100.0,13.0,28.44,10.0,9,9
31.0,100.0,28.41,3.0,86,86
34.0,82.0,29.86,5.0,17,17
87.0,59.0,29.94,10.0,9,9
44.6,39.0,30.26,10.0,4,4
6.0,76.0,29.15,1.0,44,44
52.0,69.0,29.65,10.0,5,5
9.0,88.0,30.22,3.0,44,44
53.0,83.0,29.56,10.0,5,5
78.0,46.0,30.08,10.0,9,9
40.0,58.0,27.08,10.0,9,9
8.6,79.0,30.63,10.0,4,4
68.0,65.0,30.0,10.0,9,9
48.9,39.0,30.35,10.0,4,4
74.0,88.0,29.01,10.0,9,9
66.0,100.0,30.27,10.0,84,84
36.0,89.0,24.74,10.0,37,37
96.0,19.0,29.73,10.0,9,9
49.0,77.0,30.13,7.0,9,9
51.0,56.0,29.06,10.0,9,9
78.0,54.0,30.05,10.0,51,51
42.0,76.0,29.28,10.0,56,56
66.0,33.0,28.46,10.0,9,9
65.0,50.0,29.24,10.0,9,9
49.0,54.0,29.86,10.0,9,9
65.0,63.0,29.65,10.0,9,9
64.0,100.0,29.81,2.0,26,26
68.0,52.0,29.85,10.0,4,4
70.0,29.0,29.92,10.0,56,56
45.0,82.0,25.53,10.0,37,37
66.0,65.0,30.0,10.0,9,9
65.0,63.0,29.76,10.0,51,51
71.0,34.0,30.12,10.0,9,9
67.0,81.0,29.92,10.0,5,5
82.0,39.0,29.13,10.0,9,9
75.0,87.0,29.9,7.0,37,37
52.0,80.0,29.74,10.0,56,56
63.0,39.0,30.01,10.0,9,9
87.0,35.0,29.21,10.0,51,51
60.0,67.0,30.03,10.0,51,51
44.0,85.0,30.19,9.0,9,9
81.0,56.0,29.88,10.0,56,56
55.0,80.0,30.07,10.0,9,9
81.0,69.0,29.98,10.0,5,5
57.0,88.0,29.61,1.0,11,11
78.0,37.0,29.76,10.0,9,9
28.0,88.0,26.49,6.0,51,51
45.0,93.0,29.64,10.0,9,9
64.0,67.0,29.86,10.0,84,84
59.0,58.0,29.14,10.0,9,9
30.0,63.0,30.04,10.0,54,54
69.0,36.0,29.82,10.0,9,9
29.0,58.0,29.8,10.0,9,9
86.0,70.0,29.66,10.0,9,9
42.0,92.0,28.96,10.0,5,5
25.0,81.0,29.42,0.1,22,22
40.0,35.0,28.36,10.0,10,10
73.0,93.0,29.79,10.0,54,54
82.9,29.0,29.87,10.0,4,4
60.0,57.0,30.2,10.0,9,9
56.0,93.0,30.17,8.0,5,5
72.0,35.0,29.59,10.0,9,9
59.0,55.0,29.87,10.0,51,51
41.0,60.0,30.25,10.0,9,9
59.0,69.0,29.97,10.0,5,5
55.0,63.0,29.04,10.0,9,9
21.0,74.0,30.36,8.0,56,56
83.0,69.0,29.87,10.0,9,9
68.0,70.0,29.25,10.0,9,9
57.0,74.0,30.16,10.0,9,9
48.0,93.0,29.85,2.0,29,29
62.0,61.0,29.54,10.0,9,9
77.0,61.0,30.07,9.0,51,51
57.9,49.0,29.98,10.0,4,4
54.0,88.0,29.59,9.0,9,9
41.0,79.0,29.25,10.0,9,9
76.0,91.0,29.8,10.0,56,56
87.0,63.0,30.06,10.0,56,56
71.0,57.0,29.87,10.0,9,9
90.0,33.0,30.01,10.0,9,9
53.0,74.0,30.22,10.0,5,5
75.9,46.0,30.11,10.0,64,64
83.0,63.0,29.94,10.0,56,56
34.0,100.0,29.15,3.0,5,5
44.0,93.0,30.34,2.0,11,11
64.0,46.0,30.11,10.0,9,9
50.0,46.0,30.1,10.0,9,9
16.0,86.0,28.65,10.0,5,5
60.8,29.0,30.01,10.0,4,4
17.0,77.0,29.3,7.0,44,44
67.0,76.0,28.96,9.0,9,9
61.0,72.0,28.66,10.0,5,5
32.0,92.0,28.7,4.0,5,5
0.0,76.0,29.81,10.0,9,9
48.0,52.0,29.32,10.0,9,9
95.0,43.0,29.57,10.0,56,56
36.0,64.0,25.75,3.0,44,44
68.0,55.0,29.73,10.0,9,9
40.0,93.0,28.95,10.0,51,51
85.5,77.0,30.07,10.0,51,51
61.0,91.0,29.36,9.0,5,5
69.0,75.0,29.15,10.0,9,9
74.0,87.0,29.67,9.0,37,37
73.0,64.0,29.89,10.0,9,9
62.6,68.0,30.07,10.0,4,4
45.0,80.0,30.09,7.0,9,9
82.0,42.0,30.0,10.0,56,56
79.0,74.0,30.03,10.0,9,9
83.0,49.0,29.25,10.0,9,9
63.0,78.0,28.9,10.0,51,51
62.0,53.0,29.27,10.0,5,5
55.0,94.0,29.64,5.0,5,5
50.0,29.0,30.31,10.0,56,56
51.0,56.0,29.94,10.0,9,9
46.0,87.0,28.8,10.0,5,5
37.0,100.0,29.63,9.0,5,5
53.0,86.0,29.18,10.0,9,9
30.9,59.0,30.13,10.0,56,56
57.0,59.0,30.28,10.0,56,56
77.0,50.0,30.16,10.0,4,4
77.0,74.0,29.95,8.0,64,64
50.0,93.0,29.21,10.0,9,9
82.0,54.0,29.97,10.0,51,51
91.0,43.0,29.45,10.0,9,9
27.0,55.0,24.34,10.0,51,51
55.0,94.0,29.95,10.0,9,9
89.1,61.0,30.2,10.0,56,56
85.0,69.0,30.04,10.0,51,51
71.0,90.0,30.26,10.0,5,5
78.1,58.0,29.86,10.0,64,64
78.0,90.0,29.9,10.0,9,9
42.0,67.0,28.71,10.0,9,9
88.0,75.0,29.96,10.0,56,56
58.0,44.0,30.23,10.0,9,9
73.0,66.0,29.92,10.0,4,4
59.0,41.0,29.33,10.0,5,5
55.0,72.0,29.34,10.0,5,5
23.0,93.0,29.21,7.0,9,9
75.0,21.0,27.31,10.0,9,9
77.0,54.0,30.22,10.0,56,56
81.0,79.0,30.02,10.0,56,56
52.0,63.0,29.76,10.0,54,54
79.0,94.0,29.87,1.0,24,24
85.0,67.0,29.62,10.0,51,51
77.0,56.0,29.94,10.0,56,56
80.1,87.0,29.96,10.0,51,51
71.0,53.0,28.59,5.0,69,69
70.0,87.0,30.15,10.0,51,51
64.4,30.0,30.01,10.0,4,4
37.0,60.0,29.25,10.0,5,5
58.0,44.0,29.53,10.0,9,9
39.0,99.0,30.17,3.0,56,56
49.0,83.0,30.17,10.0,9,9
30.9,85.0,30.1,9.0,54,54
71.0,51.0,29.25,10.0,9,9
43.0,58.0,23.55,10.0,52,52
42.0,49.0,24.09,10.0,56,56
82.0,22.0,28.69,10.0,9,9
87.1,67.0,30.04,10.0,56,56
70.0,93.0,29.1,10.0,56,56
46.9,83.0,29.67,10.0,64,64
77.0,52.0,29.02,10.0,5,5
39.2,93.0,29.93,10.0,54,54
32.0,44.0,29.13,10.0,9,9
41.0,93.0,30.17,5.0,59,59
61.0,90.0,30.02,10.0,4,4
60.0,69.0,29.97,10.0,5,5
70.0,81.0,30.25,10.0,5,5
38.0,93.0,30.0,10.0,9,9
89.0,53.0,29.3,10.0,56,56
74.0,16.0,30.02,10.0,9,9
42.1,82.0,30.28,10.0,54,54
71.0,89.0,29.25,10.0,29,29
19.9,57.0,30.49,10.0,4,4
62.1,90.0,30.14,7.0,4,4
65.0,32.0,25.45,10.0,51,51
51.0,54.0,30.2,10.0,9,9
85.0,31.0,29.37,10.0,9,9
85.0,61.0,29.23,10.0,56,56
63.0,87.0,29.81,8.0,5,5
23.0,81.0,29.35,10.0,5,5
65.0,100.0,29.32,1.0,24,24
36.0,93.0,29.25,8.0,5,5
65.0,34.0,29.36,10.0,9,9
71.0,81.0,29.41,10.0,9,9
95.0,47.0,29.91,10.0,9,9
51.8,100.0,30.17,1.2,54,54
108.0,8.0,29.22,9.0,56,56
61.0,50.0,29.93,10.0,84,84
69.0,34.0,29.08,10.0,56,56
48.0,61.0,30.02,10.0,4,4
75.2,24.0,29.93,10.0,4,4
32.0,73.0,30.16,10.0,54,54
80.0,64.0,30.09,10.0,56,56
62.6,94.0,30.1,7.0,4,4
34.0,93.0,23.98,3.0,5,5
85.0,44.0,29.94,10.0,9,9
37.0,73.0,29.97,10.0,54,54
44.1,51.0,30.14,10.0,54,54
81.0,62.0,30.07,10.0,56,56
75.0,55.0,29.96,10.0,4,4
94.0,49.0,29.98,10.0,9,9
91.0,28.0,28.65,10.0,9,9
80.1,67.0,29.94,10.0,51,51
74.0,30.0,29.65,10.0,9,9
33.0,92.0,29.33,3.0,44,44
60.0,36.0,29.52,10.0,9,9
64.9,65.0,30.22,10.0,4,4
72.0,93.0,29.88,9.0,37,37
96.0,43.0,30.02,10.0,9,9
66.2,52.0,30.17,10.0,54,54
88.0,55.0,29.07,10.0,56,56
59.0,83.0,30.04,10.0,9,9
46.0,41.0,30.19,10.0,9,9
40.0,73.0,28.41,10.0,51,51
30.0,88.0,26.02,10.0,9,9
65.0,97.0,29.79,10.0,5,5
82.9,74.0,30.09,10.0,64,64
68.0,93.0,29.07,7.0,56,56
6.0,73.0,30.02,10.0,9,9
57.2,38.0,30.26,10.0,4,4
52.0,100.0,29.85,10.0,9,9
84.0,37.0,28.85,10.0,51,51
39.0,100.0,29.94,3.0,9,9
49.0,86.0,30.2,10.0,56,56
81.0,67.0,29.87,10.0,51,51
78.0,68.0,30.13,10.0,51,51
58.0,39.0,29.86,10.0,9,9
62.0,93.0,29.17,3.0,9,9
85.0,72.0,30.08,10.0,78,78
19.9,55.0,30.29,10.0,51,51
77.0,40.0,30.1,10.0,4,4
79.0,58.0,29.12,10.0,56,56
42.1,45.0,30.33,10.0,4,4
73.0,94.0,29.87,10.0,9,9
49.0,86.0,29.4,10.0,9,9
68.0,73.0,29.39,10.0,56,56
62.0,32.0,29.95,10.0,9,9
84.0,10.0,26.93,10.0,9,9
57.0,96.0,29.9,10.0,56,56
46.0,40.0,30.08,10.0,5,5
48.0,93.0,29.83,9.0,5,5
62.1,78.0,30.1,10.0,54,54
67.0,51.0,29.39,10.0,56,56
65.0,23.0,28.79,10.0,9,9
75.0,30.0,29.79,10.0,9,9
57.0,87.0,28.63,10.0,9,9
49.0,86.0,30.17,10.0,51,51
79.0,56.0,29.08,10.0,9,9
73.9,87.0,30.01,10.0,64,64
60.0,62.0,29.22,10.0,9,9
51.0,92.0,28.79,2.0,37,37
40.0,49.0,29.96,10.0,9,9
57.9,35.0,30.34,10.0,4,4
53.6,62.0,29.78,10.0,54,54
62.1,100.0,30.11,5.0,4,4
68.0,76.0,29.64,10.0,51,51
56.0,93.0,29.68,5.0,59,59
54.0,66.0,30.16,10.0,54,54
28.0,100.0,30.1,1.2,44,44
39.0,93.0,26.64,10.0,5,5
39.0,100.0,28.31,10.0,6,6
46.9,27.0,30.27,10.0,51,51
78.1,81.0,30.0,10.0,37,37
17.1,81.0,30.16,0.8,44,44
68.0,33.0,30.12,10.0,4,4
10.0,85.0,29.22,0.25,71,71
68.0,63.0,29.74,10.0,9,9
61.0,38.0,29.42,10.0,9,9
75.0,51.0,29.19,10.0,51,51
63.0,18.0,21.02,10.0,10,10
47.0,28.0,29.65,10.0,5,5
69.0,68.0,29.63,10.0,9,9
59.0,100.0,30.45,4.0,54,54
89.1,34.0,29.93,10.0,56,56
73.0,79.0,30.09,10.0,51,51
59.0,83.0,29.69,6.0,17,17
33.0,34.0,30.65,10.0,9,9
61.0,67.0,29.94,10.0,9,9
41.0,82.0,29.37,10.0,9,9
55.0,93.0,30.09,5.0,9,9
79.0,52.0,28.88,10.0,9,9
72.0,71.0,30.11,10.0,51,51
63.0,45.0,29.99,10.0,4,4
63.0,58.0,29.94,10.0,56,56
81.0,84.0,29.92,10.0,9,9
72.0,66.0,30.16,10.0,51,51
70.0,32.0,29.73,10.0,4,4
66.0,56.0,30.23,10.0,51,51
71.1,53.0,29.97,10.0,4,4
80.0,48.0,30.21,10.0,5,5
70.0,41.0,30.23,10.0,51,51
17.0,84.0,25.05,0.75,44,44
60.0,57.0,30.04,10.0,9,9
59.0,41.0,29.73,10.0,9,9
71.2,48.0,30.27,10.0,56,56
48.0,100.0,30.18,8.0,9,9
51.8,71.0,30.35,10.0,54,54
84.0,51.0,29.93,10.0,9,9
73.0,64.0,30.12,10.0,51,51
75.0,29.0,30.11,10.0,9,9
56.0,80.0,29.01,10.0,51,51
38.0,68.0,30.05,10.0,9,9
79.0,60.0,29.89,10.0,81,81
73.0,87.0,30.07,6.0,37,37
54.0,82.0,29.71,10.0,9,9
77.0,84.0,30.11,10.0,51,51
79.0,61.0,30.03,10.0,9,9
37.0,44.0,30.13,10.0,10,10
54.0,94.0,29.81,10.0,9,9
84.9,53.0,29.75,10.0,64,64
60.1,75.0,30.47,10.0,51,51
64.0,75.0,29.38,10.0,51,51
71.6,53.0,30.06,10.0,4,4
70.0,90.0,30.05,10.0,9,9
37.9,89.0,30.2,4.0,54,54
69.0,81.0,29.91,10.0,5,5
68.0,21.0,29.6,10.0,9,9
77.0,62.0,30.07,10.0,51,51
80.1,87.0,30.04,8.0,83,83
37.0,48.0,29.73,10.0,54,54
30.0,35.0,30.1,10.0,51,51
43.0,97.0,30.09,0.2,11,11
44.1,85.0,29.93,7.0,37,37
41.0,70.0,28.99,10.0,51,51
75.9,71.0,29.66,10.0,37,37
64.0,67.0,29.86,10.0,84,84
48.9,44.0,30.4,10.0,51,51
62.0,42.0,29.37,10.0,5,5
57.0,47.0,30.1,9.0,51,51
44.0,42.0,29.57,10.0,9,9
47.0,58.0,30.11,10.0,5,5
80.0,38.0,29.08,10.0,9,9
39.9,93.0,30.11,2.0,54,54
78.0,33.0,29.83,10.0,56,56
82.0,8.0,28.23,10.0,9,9
45.0,68.0,29.46,10.0,9,9
87.0,63.0,30.07,10.0,51,51
82.0,71.0,29.97,10.0,51,51
84.0,33.0,29.41,10.0,9,9
39.0,73.0,30.2,10.0,37,37
84.0,53.0,29.82,8.0,4,4
63.0,67.0,30.07,10.0,56,56
85.0,65.0,30.1,10.0,51,51
51.1,66.0,29.92,10.0,4,4
83.0,51.0,29.07,10.0,9,9
71.0,61.0,29.72,10.0,9,9
88.0,63.0,30.01,10.0,56,56
85.0,48.0,29.74,10.0,9,9
73.4,22.0,29.98,10.0,4,4
27.0,80.0,30.13,10.0,9,9
50.0,100.0,29.1,5.0,9,9
41.0,76.0,29.99,10.0,9,9
46.0,53.0,29.26,10.0,9,9
57.9,70.0,29.86,10.0,4,4
84.0,34.0,29.96,10.0,9,9
57.0,74.0,30.18,10.0,9,9
60.8,82.0,30.19,10.0,54,54
57.0,89.0,28.76,2.0,37,37
41.0,96.0,30.09,10.0,56,56
73.0,44.0,30.0,10.0,51,51
48.0,93.0,28.5,10.0,5,5
75.0,46.0,30.13,10.0,9,9
87.0,48.0,29.84,10.0,9,9
73.0,61.0,29.54,10.0,5,5
31.0,72.0,30.42,10.0,9,9
59.0,90.0,30.01,10.0,4,4
53.0,89.0,29.14,4.0,59,59
77.0,84.0,29.95,10.0,9,9
59.0,49.0,30.07,10.0,51,51
41.0,67.0,29.61,10.0,9,9
52.0,97.0,30.2,2.0,29,29
48.0,52.0,29.92,10.0,5,5
87.0,33.0,29.76,9.0,9,9
41.0,57.0,30.21,10.0,54,54
71.0,81.0,29.34,10.0,5,5
